"method","estimate","std_error","df","p_value","conf_low","conf_high","fit_success","converged","singular","retained_clusters","estimated_random_intercept_sd","estimated_random_slope_sd","warning","optimizer_warning","optimizer_code","error","template_warning","template_error","cluster_warning_count","cluster_error_count","dropped_cluster_count","cluster_warning_ids","cluster_error_ids","dropped_cluster_ids","runtime_sec","method_order","method_label"
"rs",9.32987193174147,2.03964190136113,27.8166845128147,8.99418230389304e-05,5.15061410660087,13.5091297568821,TRUE,TRUE,FALSE,18,19.6611450834593,6.16374672760135,,,0,,,,,,,,,,0.369999999999997,1,"Random slope / KR"
"ri",9.32987193174144,1.51756459462467,161,5.95839894601857e-09,6.33297309052062,12.3267707729623,TRUE,TRUE,FALSE,18,,,,,,,,,,,,,,,0.230000000000004,2,"Random intercept / KR"
"cr2",9.32987193174151,2.17539227394887,17,0.000496786601726354,4.74019542426595,13.9195484392171,TRUE,,,18,,,,,,,,,,,,,,,0.0499999999999972,3,"OLS / CR2"
"cats",9.32987193174151,2.17539227394887,17,0.00049678660172636,4.74019542426594,13.9195484392171,TRUE,,,18,,,,,,,,,,,,,,,0.0300000000000011,4,"CATs"
"cats_trunc",9.32987193174151,2.17539227394887,17,0.00049678660172636,4.74019542426594,13.9195484392171,TRUE,,,18,,,,,,,,,,,,,,,0.0399999999999991,5,"Truncated CATs"
"cats_robust",10.2303964279918,1.8073356489755,17,2.82074113269012e-05,6.41725152140977,14.0435413345738,TRUE,,,18,,,,,,,,,0,0,0,,,,0.140000000000001,6,"Robust CATs: lmRob"
"cats_robustbase",9.92190486470107,1.53943802940295,17,6.04443484739971e-06,6.67397452915771,13.1698352002444,TRUE,,,18,,,"Cluster 371: find_scale() did not converge in 'maxit.scale' (= 200) iterations with tol=1e-10, last rel.diff=0",,,,,,1,0,0,"371",,,0.160000000000004,7,"Robust CATs: lmrob"
"robust_ri",9.48373343658066,0.942875310677906,26.9880900989274,1.25910799719407e-10,7.54907315221647,11.4183937209449,TRUE,TRUE,FALSE,18,30.9209268946928,,,,0,,,,,,,,,,2.47,8,"Robust random intercept"
"robust_rs",10.1407243594468,1.54138518353051,5.42692238699852,0.000885535882783826,6.27040969144676,14.0110390274468,TRUE,TRUE,FALSE,18,26.8008721996213,5.70840266020567,,,0,,,,,,,,,,4.92,9,"Robust random slope"
