"method","method_label","method_order","observed_estimate","observed_std_error","observed_df","observed_p_value","observed_conf_low","observed_conf_high","observed_fit_success","observed_converged","observed_singular","observed_retained_clusters","observed_estimated_random_intercept_sd","observed_estimated_random_slope_sd","observed_warning","observed_optimizer_warning","observed_optimizer_code","observed_error","observed_template_warning","observed_template_error","observed_cluster_warning_count","observed_cluster_error_count","observed_dropped_cluster_count","observed_cluster_warning_ids","observed_cluster_error_ids","observed_dropped_cluster_ids","observed_runtime_sec","perturbed_estimate","perturbed_std_error","perturbed_df","perturbed_p_value","perturbed_conf_low","perturbed_conf_high","perturbed_fit_success","perturbed_converged","perturbed_singular","perturbed_retained_clusters","perturbed_estimated_random_intercept_sd","perturbed_estimated_random_slope_sd","perturbed_warning","perturbed_optimizer_warning","perturbed_optimizer_code","perturbed_error","perturbed_template_warning","perturbed_template_error","perturbed_cluster_warning_count","perturbed_cluster_error_count","perturbed_dropped_cluster_count","perturbed_cluster_warning_ids","perturbed_cluster_error_ids","perturbed_dropped_cluster_ids","perturbed_runtime_sec","observed_ci_width","perturbed_ci_width","estimate_change","absolute_estimate_change","ci_width_change"
"rs","Random slope / KR",1,10.467285959596,1.55956909806857,18.187470478776,2.57091828484745e-06,7.19317205425443,13.7413998649376,TRUE,TRUE,FALSE,18,25.0513283247761,5.98818667372297,,,0,,,,,,,,,,1.11,9.32987193174147,2.03964190136113,27.8166845128147,8.99418230389304e-05,5.15061410660087,13.5091297568821,TRUE,TRUE,FALSE,18,19.6611450834593,6.16374672760135,,,0,,,,,,,,,,0.369999999999997,6.5482278106832,8.35851565028119,-1.13741402785456,1.13741402785456,1.81028783959799
"ri","Random intercept / KR",2,10.467285959596,0.80422142894524,161,6.41260126766919e-27,8.87910297415472,12.0554689450372,TRUE,TRUE,FALSE,18,,,,,,,,,,,,,,,0.210000000000001,9.32987193174144,1.51756459462467,161,5.95839894601857e-09,6.33297309052062,12.3267707729623,TRUE,TRUE,FALSE,18,,,,,,,,,,,,,,,0.230000000000004,3.17636597088249,5.99379768244163,-1.13741402785453,1.13741402785453,2.81743171155914
"cr2","OLS / CR2",3,10.467285959596,1.54578889629473,17,3.26378807133188e-06,7.20595646615157,13.7286154530403,TRUE,,,18,,,,,,,,,,,,,,,0.0299999999999976,9.32987193174151,2.17539227394887,17,0.000496786601726354,4.74019542426595,13.9195484392171,TRUE,,,18,,,,,,,,,,,,,,,0.0499999999999972,6.52265898688877,9.17935301495112,-1.13741402785445,1.13741402785445,2.65669402806235
"cats","CATs",4,10.467285959596,1.54578889629473,17,3.26378807133186e-06,7.20595646615158,13.7286154530403,TRUE,,,18,,,,,,,,,,,,,,,0.0300000000000011,9.32987193174151,2.17539227394887,17,0.00049678660172636,4.74019542426594,13.9195484392171,TRUE,,,18,,,,,,,,,,,,,,,0.0300000000000011,6.52265898688877,9.17935301495113,-1.13741402785445,1.13741402785445,2.65669402806236
"cats_trunc","Truncated CATs",5,10.467285959596,1.54578889629473,17,3.26378807133186e-06,7.20595646615158,13.7286154530403,TRUE,,,18,,,,,,,,,,,,,,,0.0799999999999983,9.32987193174151,2.17539227394887,17,0.00049678660172636,4.74019542426594,13.9195484392171,TRUE,,,18,,,,,,,,,,,,,,,0.0399999999999991,6.52265898688877,9.17935301495113,-1.13741402785445,1.13741402785445,2.65669402806236
"cats_robust","Robust CATs: lmRob",6,10.4177266188581,1.78314900893756,17,1.95969718532946e-05,6.65561106220358,14.1798421755126,TRUE,,,18,,,,,,,,,0,0,0,,,,0.190000000000001,10.2303964279918,1.8073356489755,17,2.82074113269012e-05,6.41725152140977,14.0435413345738,TRUE,,,18,,,,,,,,,0,0,0,,,,0.140000000000001,7.52423111330899,7.626289813164,-0.187330190866298,0.187330190866298,0.102058699855013
"cats_robustbase","Robust CATs: lmrob",7,10.0769619867008,1.65903027257253,17,1.23983083866457e-05,6.57671407353025,13.5772098998714,TRUE,,,18,,,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,,,,,1,0,0,"334",,,0.219999999999999,9.92190486470107,1.53943802940295,17,6.04443484739971e-06,6.67397452915771,13.1698352002444,TRUE,,,18,,,"Cluster 371: find_scale() did not converge in 'maxit.scale' (= 200) iterations with tol=1e-10, last rel.diff=0",,,,,,1,0,0,"371",,,0.160000000000004,7.00049582634114,6.49586067108673,-0.15505712199975,0.15505712199975,-0.504635155254419
"robust_ri","Robust random intercept",8,10.6274709850567,0.721374138726008,28.7192847265595,6.40034936853528e-15,9.15146855760401,12.1034734125094,TRUE,TRUE,FALSE,18,31.6973418223561,,,,0,,,,,,,,,,2.98,9.48373343658066,0.942875310677906,26.9880900989274,1.25910799719407e-10,7.54907315221647,11.4183937209449,TRUE,TRUE,FALSE,18,30.9209268946928,,,,0,,,,,,,,,,2.47,2.95200485490543,3.86932056872839,-1.14373754847606,1.14373754847606,0.917315713822962
"robust_rs","Robust random slope",9,10.6846295456918,1.61840878093089,9.03912164779244,9.70953608104908e-05,7.02594850099157,14.3433105903921,TRUE,TRUE,FALSE,18,30.9505865138191,6.37744729905326,,,0,,,,,,,,,,4.32,10.1407243594468,1.54138518353051,5.42692238699852,0.000885535882783826,6.27040969144676,14.0110390274468,TRUE,TRUE,FALSE,18,26.8008721996213,5.70840266020567,,,0,,,,,,,,,,4.92,7.31736208940054,7.74062933600004,-0.543905186245055,0.543905186245055,0.423267246599504
