"cluster","engine","intercept","slope","fit_success","warning","error"
"308","ols",241.400834658903,18.972867992236,TRUE,,
"308","robust",239.656365277778,25.9917180555556,TRUE,,
"308","robustbase",241.24662971907,22.7567588981297,TRUE,,
"309","ols",219.014117614577,-4.25249488680279,TRUE,,
"309","robust",195.478344862155,3.82360651629073,TRUE,,
"309","robustbase",197.176090439382,3.49635806302723,TRUE,,
"310","ols",181.149549998494,14.490402083898,TRUE,,
"310","robust",201.039111111111,7.03181666666667,TRUE,,
"310","robustbase",200.715518458804,7.09673088739964,TRUE,,
"330","ols",286.893258295266,0.216238295266329,TRUE,,
"330","robust",290.257882916667,3.58086291666667,TRUE,,
"330","robustbase",289.616765886774,3.54285013281283,TRUE,,
"331","ols",266.196124430501,6.19663026521425,TRUE,,
"331","robust",284.394644864865,5.33003405405406,TRUE,,
"331","robustbase",284.977247362594,5.15663191925661,TRUE,,
"332","ols",219.582263633352,16.0810482201361,TRUE,,
"332","robust",252.472932621951,12.2369679878049,TRUE,,
"332","robustbase",268.12916299538,7.63172782992276,TRUE,,
"333","ols",311.312953070629,4.48898806786814,TRUE,,
"333","robust",279.760443382353,8.53418161764706,TRUE,,
"333","robustbase",279.814544848176,8.55182057603847,TRUE,,
"334","ols",276.456762161538,7.60008382544389,TRUE,,
"334","robust",196.428042857143,18.8806,TRUE,,
"334","robustbase",247.136200400457,11.2520846808509,TRUE,,
"335","ols",316.079546935394,-11.2565372354131,TRUE,,
"335","robust",274.343066666667,-4.66656666666667,TRUE,,
"335","robustbase",274.439301262385,-4.68271178756619,TRUE,,
"337","ols",287.312292840721,16.2341395073876,TRUE,,
"337","robust",300.678020135364,17.7274226734349,TRUE,,
"337","robustbase",294.01610725922,18.5433901296586,TRUE,,
"349","ols",237.446448183324,5.11842943125355,TRUE,,
"349","robust",218.464646666667,12.236605,TRUE,,
"349","robustbase",218.380569446922,12.1898744051374,TRUE,,
"350","ols",270.503954548466,12.9897366283487,TRUE,,
"350","robust",226.564018064516,19.3976440322581,TRUE,,
"350","robustbase",234.188573342701,18.291746636934,TRUE,,
"351","ols",224.853163293008,11.0865549624349,TRUE,,
"351","robust",262.328511911765,6.2820230882353,TRUE,,
"351","robustbase",261.445039301586,6.50361443526649,TRUE,,
"352","ols",223.327214882788,21.9420523869283,TRUE,,
"352","robust",305.238858333333,9.008635,TRUE,,
"352","robustbase",306.121156631205,8.86528686295981,TRUE,,
"369","ols",277.30282454696,2.97260579488993,TRUE,,
"369","robust",257.059697777778,10.5637783333333,TRUE,,
"369","robustbase",257.227236903537,10.5641504867459,TRUE,,
"370","ols",174.155243293008,22.7092082957682,TRUE,,
"370","robust",212.645878529412,17.7745114705882,TRUE,,
"370","robustbase",212.499707226574,17.7956939871679,TRUE,,
"371","ols",259.219707045831,4.53538746180754,TRUE,,
"371","robust",275.683607142857,-0.229778571428573,TRUE,,
"371","robustbase",253.7418166485,10.2551418608246,TRUE,"find_scale() did not converge in 'maxit.scale' (= 200) iterations with tol=1e-10, last rel.diff=0",
"372","ols",222.375449087898,17.8123536746816,TRUE,,
"372","robust",274.061469852941,10.6430735294118,TRUE,,
"372","robustbase",271.675979823243,10.7831375600527,TRUE,,
