"check","passed","details"
"observed_vs_perturbed__perturbed_template_error",TRUE,
"observed_vs_perturbed__perturbed_cluster_warning_count",TRUE,
"observed_vs_perturbed__perturbed_cluster_error_count",TRUE,
"observed_vs_perturbed__perturbed_dropped_cluster_count",TRUE,
"observed_vs_perturbed__perturbed_cluster_warning_ids",TRUE,
"observed_vs_perturbed__perturbed_cluster_error_ids",TRUE,
"observed_vs_perturbed__perturbed_dropped_cluster_ids",TRUE,
"observed_vs_perturbed__observed_ci_width",TRUE,
"observed_vs_perturbed__perturbed_ci_width",TRUE,
"observed_vs_perturbed__estimate_change",TRUE,
"observed_vs_perturbed__absolute_estimate_change",TRUE,
"observed_vs_perturbed__ci_width_change",TRUE,
"observed_vs_perturbed__observed_warning__allowed_warning_change",TRUE,
"observed_vs_perturbed__perturbed_warning__allowed_warning_change",TRUE,
"observed_cluster_fits__row_count",TRUE,"old = 54 ; new = 54"
"observed_cluster_fits__column_set",TRUE,"old columns = 7 ; new columns = 7"
"observed_cluster_fits__cluster",TRUE,
"observed_cluster_fits__engine",TRUE,
"observed_cluster_fits__intercept",TRUE,
"observed_cluster_fits__slope",TRUE,
"observed_cluster_fits__fit_success",TRUE,
"observed_cluster_fits__warning",TRUE,
"observed_cluster_fits__error",TRUE,
"observed_cluster_slope_differences__row_count",TRUE,"old = 36 ; new = 36"
"observed_cluster_slope_differences__column_set",TRUE,"old columns = 3 ; new columns = 3"
"observed_cluster_slope_differences__cluster",TRUE,
"observed_cluster_slope_differences__comparison",TRUE,
"observed_cluster_slope_differences__slope_difference",TRUE,
"perturbed_cluster_fits__row_count",TRUE,"old = 54 ; new = 54"
"perturbed_cluster_fits__column_set",TRUE,"old columns = 7 ; new columns = 7"
"perturbed_cluster_fits__cluster",TRUE,
"perturbed_cluster_fits__engine",TRUE,
"perturbed_cluster_fits__intercept",TRUE,
"perturbed_cluster_fits__slope",TRUE,
"perturbed_cluster_fits__fit_success",TRUE,
"perturbed_cluster_fits__warning",TRUE,
"perturbed_cluster_fits__error",TRUE,
"perturbed_cluster_slope_differences__row_count",TRUE,"old = 36 ; new = 36"
"perturbed_cluster_slope_differences__column_set",TRUE,"old columns = 3 ; new columns = 3"
"perturbed_cluster_slope_differences__cluster",TRUE,
"perturbed_cluster_slope_differences__comparison",TRUE,
"perturbed_cluster_slope_differences__slope_difference",TRUE,
"observed_observation_diagnostics__row_id",TRUE,
"observed_observation_diagnostics__cluster",TRUE,
"observed_observation_diagnostics__out",TRUE,
"observed_observation_diagnostics__x",TRUE,
"observed_observation_diagnostics__ols_residual",TRUE,
"observed_observation_diagnostics__standardized_residual",TRUE,
"observed_observation_diagnostics__leverage",TRUE,
"observed_observation_diagnostics__cooks_distance",TRUE,
"observed_observation_diagnostics__robustbase_weight",TRUE,
"observed_old_lmRob_weights_were_missing",TRUE,
"observed_corrected_lmRob_weights_populated_and_finite",TRUE,"rows = 180 ; finite weights = 180"
"perturbed_observation_diagnostics__row_id",TRUE,
"perturbed_observation_diagnostics__cluster",TRUE,
"perturbed_observation_diagnostics__out",TRUE,
"perturbed_observation_diagnostics__x",TRUE,
"perturbed_observation_diagnostics__ols_residual",TRUE,
"perturbed_observation_diagnostics__standardized_residual",TRUE,
"perturbed_observation_diagnostics__leverage",TRUE,
"perturbed_observation_diagnostics__cooks_distance",TRUE,
"perturbed_observation_diagnostics__robustbase_weight",TRUE,
"perturbed_old_lmRob_weights_were_missing",TRUE,
"perturbed_corrected_lmRob_weights_populated_and_finite",TRUE,"rows = 180 ; finite weights = 180"
"contaminated_observation_diagnostics__row_id",TRUE,
"contaminated_observation_diagnostics__Subject",TRUE,
"contaminated_observation_diagnostics__Days",TRUE,
"contaminated_observation_diagnostics__Reaction_observed",TRUE,
"contaminated_observation_diagnostics__Reaction_perturbed",TRUE,
"contaminated_observation_diagnostics__contaminated",TRUE,
"contaminated_observation_diagnostics__contamination_sign",TRUE,
"contaminated_observation_diagnostics__signed_displacement",TRUE,
"contaminated_observation_diagnostics__absolute_displacement",TRUE,
"contaminated_observation_diagnostics__cluster",TRUE,
"contaminated_observation_diagnostics__out",TRUE,
"contaminated_observation_diagnostics__x",TRUE,
"contaminated_observation_diagnostics__ols_residual",TRUE,
"contaminated_observation_diagnostics__standardized_residual",TRUE,
"contaminated_observation_diagnostics__leverage",TRUE,
"contaminated_observation_diagnostics__cooks_distance",TRUE,
"contaminated_observation_diagnostics__robustbase_weight",TRUE,
"corrected_contaminated_lmRob_weights_populated_and_finite",TRUE,"rows = 18 ; finite weights = 18"
"leave_one_subject_out__row_count",TRUE,"old = 324 ; new = 324"
"leave_one_subject_out__column_set",TRUE,"old columns = 10 ; new columns = 10"
"leave_one_subject_out__method",TRUE,
