"item","value"
"audit_label","current-laptop"
"r_version","R version 4.6.1 (2026-06-24 ucrt)"
"r_platform","x86_64-w64-mingw32"
"r_arch","x86_64"
"r_os","mingw32"
"logical_cores_detected","2"
"physical_cores_detected","2"
"blas_lapack_library",""
"working_directory","C:/Users/macks/Desktop/mmiCATs"
"project_root","C:/Users/macks/Desktop/mmiCATs"
