"check","passed"
"study1_generated_seed_vector_matches",TRUE
"study1_shard_seed_vectors_match",TRUE
"study1_replicate_results_match",TRUE
"study1_summary_results_match",TRUE
"study2_generated_seed_vector_matches",TRUE
"study2_shard_seed_vectors_match",TRUE
"study2_replicate_results_match",TRUE
"study2_summary_results_match",TRUE
