"contamination","dataset_id","engine","variant","baseline_success","observed_success","baseline_error","observed_error","baseline_warning","observed_warning","baseline_message","observed_message","df_difference","retained_cluster_difference","rejection_changed","ci_decision_changed","all_quantities_equivalent","max_absolute_difference"
"vertical",2,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",2,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,2.89032396016964e-07
"vertical",2,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",2,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,8.2624975195067e-08
"vertical",2,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,7.26857148913851e-08
"vertical",2,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,8.38615830112133e-08
"vertical",3,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",3,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.35103252862923e-07
"vertical",3,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",3,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,3.16688580637159e-08
"vertical",3,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",3,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,9.5044222492291e-11
"vertical",3,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,9.40066358090519e-11
"vertical",3,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,9.43495837013586e-11
"vertical",4,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",4,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,5.1308884002621e-08
"vertical",4,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",4,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,6.4456143172853e-08
"vertical",4,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",4,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,3.60379942554445e-09
"vertical",4,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,8.64260885080625e-11
