"contamination","dataset_id","engine","variant","quantity","reference_value","observed_value","absolute_difference","allowed_difference","numerically_equivalent"
"none",1,"robust","exact_repeat","estimate",-0.0366179958112571,-0.0366179958112571,0,1.03661799581126e-05,TRUE
"none",1,"robust","exact_repeat","std_error",0.0747207565117218,0.0747207565117218,0,1.07472075651172e-05,TRUE
"none",1,"robust","exact_repeat","p_value",0.635812706066311,0.635812706066311,0,1.63581270606631e-05,TRUE
"none",1,"robust","exact_repeat","conf_low",-0.205648090363949,-0.205648090363949,0,1.20564809036395e-05,TRUE
"none",1,"robust","exact_repeat","conf_high",0.132412098741435,0.132412098741435,0,1.13241209874144e-05,TRUE
"none",1,"robust","within_cluster_row_order","estimate",-0.0366179958112571,-0.0366182162122097,2.20400952613553e-07,1.03661799581126e-05,TRUE
"none",1,"robust","within_cluster_row_order","std_error",0.0747207565117218,0.0747208671770843,1.10665362484941e-07,1.07472075651172e-05,TRUE
"none",1,"robust","within_cluster_row_order","p_value",0.635812706066311,0.635811193133067,1.51293324412993e-06,1.63581270606631e-05,TRUE
"none",1,"robust","within_cluster_row_order","conf_low",-0.205648090363949,-0.205648561107344,4.70743395042383e-07,1.20564809036395e-05,TRUE
"none",1,"robust","within_cluster_row_order","conf_high",0.132412098741435,0.132412128682925,2.99414897875216e-08,1.13241209874144e-05,TRUE
"none",1,"robust","cluster_block_order","estimate",-0.0366179958112571,-0.0366179958112571,0,1.03661799581126e-05,TRUE
"none",1,"robust","cluster_block_order","std_error",0.0747207565117218,0.0747207565117218,0,1.07472075651172e-05,TRUE
"none",1,"robust","cluster_block_order","p_value",0.635812706066311,0.635812706066311,0,1.63581270606631e-05,TRUE
"none",1,"robust","cluster_block_order","conf_low",-0.205648090363949,-0.205648090363949,0,1.20564809036395e-05,TRUE
"none",1,"robust","cluster_block_order","conf_high",0.132412098741435,0.132412098741435,0,1.13241209874144e-05,TRUE
"none",1,"robust","global_row_order","estimate",-0.0366179958112571,-0.0366179550246522,4.07866048643402e-08,1.03661799581126e-05,TRUE
"none",1,"robust","global_row_order","std_error",0.0747207565117218,0.0747207451937709,1.13179509236838e-08,1.07472075651172e-05,TRUE
"none",1,"robust","global_row_order","p_value",0.635812706066311,0.635813026922805,3.20856493152277e-07,1.63581270606631e-05,TRUE
"none",1,"robust","global_row_order","conf_low",-0.205648090363949,-0.20564802397436,6.63895886043875e-08,1.20564809036395e-05,TRUE
"none",1,"robust","global_row_order","conf_high",0.132412098741435,0.132412113925056,1.51836210826595e-08,1.13241209874144e-05,TRUE
"none",1,"robustbase","exact_repeat","estimate",-0.0118777428300142,-0.0118777428300142,0,1.01187774283001e-05,TRUE
"none",1,"robustbase","exact_repeat","std_error",0.0643666754640312,0.0643666754640312,0,1.06436667546403e-05,TRUE
"none",1,"robustbase","exact_repeat","p_value",0.857686871708326,0.857686871708326,0,1.85768687170833e-05,TRUE
"none",1,"robustbase","exact_repeat","conf_low",-0.15748527877648,-0.15748527877648,0,1.15748527877648e-05,TRUE
"none",1,"robustbase","exact_repeat","conf_high",0.133729793116452,0.133729793116452,0,1.13372979311645e-05,TRUE
"none",1,"robustbase","within_cluster_row_order","estimate",-0.0118777428300142,-0.011877742130177,6.99837156975525e-10,1.01187774283001e-05,TRUE
"none",1,"robustbase","within_cluster_row_order","std_error",0.0643666754640312,0.0643666752130927,2.50938519963384e-10,1.06436667546403e-05,TRUE
"none",1,"robustbase","within_cluster_row_order","p_value",0.857686871708326,0.857686879440567,7.73224073657985e-09,1.85768687170833e-05,TRUE
"none",1,"robustbase","within_cluster_row_order","conf_low",-0.15748527877648,-0.15748527750898,1.26749954976191e-09,1.15748527877648e-05,TRUE
"none",1,"robustbase","within_cluster_row_order","conf_high",0.133729793116452,0.133729793248626,1.32174771128035e-10,1.13372979311645e-05,TRUE
"none",1,"robustbase","cluster_block_order","estimate",-0.0118777428300142,-0.0118777412936573,1.53635687852316e-09,1.01187774283001e-05,TRUE
"none",1,"robustbase","cluster_block_order","std_error",0.0643666754640312,0.0643666748977267,5.66304572680032e-10,1.06436667546403e-05,TRUE
"none",1,"robustbase","cluster_block_order","p_value",0.857686871708326,0.857686888649302,1.69409751782368e-08,1.85768687170833e-05,TRUE
"none",1,"robustbase","cluster_block_order","conf_low",-0.15748527877648,-0.157485275959053,2.81742681962349e-09,1.15748527877648e-05,TRUE
"none",1,"robustbase","cluster_block_order","conf_high",0.133729793116452,0.133729793371738,2.55286930483933e-10,1.13372979311645e-05,TRUE
"none",1,"robustbase","global_row_order","estimate",-0.0118777428300142,-0.011877742658874,1.71140207907983e-10,1.01187774283001e-05,TRUE
"none",1,"robustbase","global_row_order","std_error",0.0643666754640312,0.0643666754170605,4.69707328587532e-11,1.06436667546403e-05,TRUE
"none",1,"robustbase","global_row_order","p_value",0.857686871708326,0.857686873630618,1.92229199225125e-09,1.85768687170833e-05,TRUE
"none",1,"robustbase","global_row_order","conf_low",-0.15748527877648,-0.157485278499085,2.77395412195958e-10,1.15748527877648e-05,TRUE
"none",1,"robustbase","global_row_order","conf_high",0.133729793116452,0.133729793181337,6.48850140283486e-11,1.13372979311645e-05,TRUE
"none",2,"robust","exact_repeat","estimate",-0.0258798182744666,-0.0258798182744666,0,1.02587981827447e-05,TRUE
"none",2,"robust","exact_repeat","std_error",0.064153335658805,0.064153335658805,0,1.06415333565881e-05,TRUE
"none",2,"robust","exact_repeat","p_value",0.696065778128854,0.696065778128854,0,1.69606577812885e-05,TRUE
"none",2,"robust","exact_repeat","conf_low",-0.17100474605243,-0.17100474605243,0,1.17100474605243e-05,TRUE
"none",2,"robust","exact_repeat","conf_high",0.119245109503497,0.119245109503497,0,1.1192451095035e-05,TRUE
"none",2,"robust","within_cluster_row_order","estimate",-0.0258798182744666,-0.0258794216618463,3.96612620329195e-07,1.02587981827447e-05,TRUE
"none",2,"robust","within_cluster_row_order","std_error",0.064153335658805,0.0641533776562717,4.19974667265066e-08,1.06415333565881e-05,TRUE
"none",2,"robust","within_cluster_row_order","p_value",0.696065778128854,0.696070352184319,4.5740554650564e-06,1.69606577812885e-05,TRUE
"none",2,"robust","within_cluster_row_order","conf_low",-0.17100474605243,-0.17100444444468,3.01607750163857e-07,1.17100474605243e-05,TRUE
"none",2,"robust","within_cluster_row_order","conf_high",0.119245109503497,0.119245601120987,4.91617490494534e-07,1.1192451095035e-05,TRUE
"none",2,"robust","cluster_block_order","estimate",-0.0258798182744666,-0.0258798182744666,0,1.02587981827447e-05,TRUE
"none",2,"robust","cluster_block_order","std_error",0.064153335658805,0.064153335658805,0,1.06415333565881e-05,TRUE
"none",2,"robust","cluster_block_order","p_value",0.696065778128854,0.696065778128854,0,1.69606577812885e-05,TRUE
"none",2,"robust","cluster_block_order","conf_low",-0.17100474605243,-0.17100474605243,0,1.17100474605243e-05,TRUE
"none",2,"robust","cluster_block_order","conf_high",0.119245109503497,0.119245109503497,0,1.1192451095035e-05,TRUE
"none",2,"robust","global_row_order","estimate",-0.0258798182744666,-0.0258789977742301,8.20500236475841e-07,1.02587981827447e-05,TRUE
"none",2,"robust","global_row_order","std_error",0.064153335658805,0.0641529059658504,4.2969295459272e-07,1.06415333565881e-05,TRUE
"none",2,"robust","global_row_order","p_value",0.696065778128854,0.696072935994114,7.1578652591775e-06,1.69606577812885e-05,TRUE
"none",2,"robust","global_row_order","conf_low",-0.17100474605243,-0.171002953519198,1.79253323151496e-06,1.17100474605243e-05,TRUE
"none",2,"robust","global_row_order","conf_high",0.119245109503497,0.119244957970738,1.51532758563278e-07,1.1192451095035e-05,TRUE
"none",2,"robustbase","exact_repeat","estimate",-0.0260937823963515,-0.0260937823963515,0,1.02609378239635e-05,TRUE
"none",2,"robustbase","exact_repeat","std_error",0.0693935015952343,0.0693935015952343,0,1.06939350159523e-05,TRUE
"none",2,"robustbase","exact_repeat","p_value",0.715607968668255,0.715607968668255,0,1.71560796866826e-05,TRUE
"none",2,"robustbase","exact_repeat","conf_low",-0.183072789081659,-0.183072789081659,0,1.18307278908166e-05,TRUE
"none",2,"robustbase","exact_repeat","conf_high",0.130885224288956,0.130885224288956,0,1.13088522428896e-05,TRUE
"none",2,"robustbase","within_cluster_row_order","estimate",-0.0260937823963515,-0.0260937824602623,6.3910723935301e-11,1.02609378239635e-05,TRUE
"none",2,"robustbase","within_cluster_row_order","std_error",0.0693935015952343,0.0693935015981965,2.962213807578e-12,1.06939350159523e-05,TRUE
"none",2,"robustbase","within_cluster_row_order","p_value",0.715607968668255,0.71560796801862,6.49635678584559e-10,1.71560796866826e-05,TRUE
"none",2,"robustbase","within_cluster_row_order","conf_low",-0.183072789081659,-0.183072789152271,7.06117386783944e-11,1.18307278908166e-05,TRUE
"none",2,"robustbase","within_cluster_row_order","conf_high",0.130885224288956,0.130885224231747,5.72097369477831e-11,1.13088522428896e-05,TRUE
"none",2,"robustbase","cluster_block_order","estimate",-0.0260937823963515,-0.0260937824736525,7.73009260768287e-11,1.02609378239635e-05,TRUE
"none",2,"robustbase","cluster_block_order","std_error",0.0693935015952343,0.0693935016322374,3.70031089103051e-11,1.06939350159523e-05,TRUE
"none",2,"robustbase","cluster_block_order","p_value",0.715607968668255,0.715607968012517,6.55738574550924e-10,1.71560796866826e-05,TRUE
"none",2,"robustbase","cluster_block_order","conf_low",-0.183072789081659,-0.183072789242667,1.61007762677912e-10,1.18307278908166e-05,TRUE
"none",2,"robustbase","cluster_block_order","conf_high",0.130885224288956,0.130885224295362,6.40593134093592e-12,1.13088522428896e-05,TRUE
"none",2,"robustbase","global_row_order","estimate",-0.0260937823963515,-0.0260937823110992,8.52523260319593e-11,1.02609378239635e-05,TRUE
"none",2,"robustbase","global_row_order","std_error",0.0693935015952343,0.0693935016220815,2.68471911368806e-11,1.06939350159523e-05,TRUE
"none",2,"robustbase","global_row_order","p_value",0.715607968668255,0.715607969654629,9.86373871469937e-10,1.71560796866826e-05,TRUE
"none",2,"robustbase","global_row_order","conf_low",-0.183072789081659,-0.18307278905714,2.45197750992077e-11,1.18307278908166e-05,TRUE
"none",2,"robustbase","global_row_order","conf_high",0.130885224288956,0.130885224434941,1.45984890842499e-10,1.13088522428896e-05,TRUE
"none",3,"robust","exact_repeat","estimate",0.00187584226487429,0.00187584226487429,0,1.00187584226487e-05,TRUE
"none",3,"robust","exact_repeat","std_error",0.0406338840462707,0.0406338840462707,0,1.04063388404627e-05,TRUE
"none",3,"robust","exact_repeat","p_value",0.96418727116957,0.96418727116957,0,1.96418727116957e-05,TRUE
"none",3,"robust","exact_repeat","conf_low",-0.0900443895827086,-0.0900443895827086,0,1.09004438958271e-05,TRUE
"none",3,"robust","exact_repeat","conf_high",0.0937960741124572,0.0937960741124572,0,1.09379607411246e-05,TRUE
"none",3,"robust","within_cluster_row_order","estimate",0.00187584226487429,0.00187574509052857,9.71743457226556e-08,1.00187584226487e-05,TRUE
"none",3,"robust","within_cluster_row_order","std_error",0.0406338840462707,0.0406338186806663,6.53656044014017e-08,1.04063388404627e-05,TRUE
"none",3,"robust","within_cluster_row_order","p_value",0.96418727116957,0.964189067352763,1.79618319240404e-06,1.96418727116957e-05,TRUE
"none",3,"robust","within_cluster_row_order","conf_low",-0.0900443895827086,-0.0900443388897842,5.06929244692422e-08,1.09004438958271e-05,TRUE
"none",3,"robust","within_cluster_row_order","conf_high",0.0937960741124572,0.0937958290708413,2.45041615914987e-07,1.09379607411246e-05,TRUE
"none",3,"robust","cluster_block_order","estimate",0.00187584226487429,0.00187584226487429,0,1.00187584226487e-05,TRUE
"none",3,"robust","cluster_block_order","std_error",0.0406338840462707,0.0406338840462707,0,1.04063388404627e-05,TRUE
"none",3,"robust","cluster_block_order","p_value",0.96418727116957,0.96418727116957,0,1.96418727116957e-05,TRUE
"none",3,"robust","cluster_block_order","conf_low",-0.0900443895827086,-0.0900443895827086,0,1.09004438958271e-05,TRUE
"none",3,"robust","cluster_block_order","conf_high",0.0937960741124572,0.0937960741124572,0,1.09379607411246e-05,TRUE
