"check","passed","details"
"study1_method_schedule_is_append_only",TRUE,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase,robust_ri"
"study2_method_schedule_is_append_only",TRUE,"rs,ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase,robust_ri,robust_rs"
"existing_method_seed_indices_are_preserved",TRUE,"Study 1: TRUE ; Study 2: TRUE"
"existing_methods_remain_order_invariant",TRUE,"Study 1: TRUE ; Study 2: TRUE"
"new_methods_run_through_top_level_simulations",TRUE,"rows: 3 ; successful: 3"
"new_methods_flow_into_simulation_summaries",TRUE,"Study 1: robust_ri ; Study 2: robust_ri,robust_rs"
"robust_rs_boundary_remains_nonfatal_after_dispatch",TRUE,"success: TRUE ; converged: TRUE ; boundary: TRUE ; code: 0"
"phase4b_production_helper_is_unchanged",TRUE,"MD5: a3f55f48736df665fa8ce45706dd9c49"
