"condition_id","study","n_clusters","random_slope_sd","contamination","contamination_label","model","model_label","reps","fit_available_rate","inference_complete_rate","usable_rate","convergence_code_available_rate","convergence_failure_rate","boundary_fit_rate","fit_warning_rate","fit_message_rate","inference_warning_rate","inference_message_rate","fit_error_rate","inference_error_rate","mean_fit_sec","mean_inference_sec","mean_total_sec","maximum_total_sec","mean_estimated_random_intercept_sd","mean_estimated_random_slope_sd","mean_residual_weight","minimum_residual_weight","mean_prop_residual_weights_below_0_8","mean_random_effect_weight","minimum_random_effect_weight"
"RMM021","Study 2",20,0.05,"vertical","Vertical outliers","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,100,0,60,0,0,0,0,19.9139999999999,31.23,51.6839999999998,62.6100000000001,1.03493354883468,0,0.939295014931437,0.162035319207471,0.10025,0.981035609286326,0.353791290847752
"RMM022","Study 2",20,0.1,"none","Clean","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,6.31000000000004,18.744,25.5800000000001,29.2200000000003,1.04495120933617,,0.962937303086519,0.349303871715488,0.083,0.960002989456624,0.379796621602773
"RMM023","Study 2",20,0.1,"none","Clean","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,80,0,20,0,0,0,0,19.3559999999999,35.6539999999999,55.5899999999999,75.4399999999996,1.04457244776081,0.0296306120087843,0.963061424326016,0.349303889420282,0.0825,0.980004603985294,0.377753651210427
"RMM024","Study 2",20,0.1,"vertical","Vertical outliers","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,8.32599999999993,20.4880000000001,29.3579999999999,33.8399999999997,1.03548484961873,,0.939451345982546,0.163881077610513,0.099,0.962250019807614,0.35385133709542
"RMM025","Study 2",20,0.1,"vertical","Vertical outliers","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,80,0,60,0,0,0,0,26.3160000000001,35.8920000000001,62.8040000000001,94.4200000000001,1.03502598221194,0.0264341110011847,0.939494402844315,0.163881084443431,0.099,0.98111483019713,0.352004266035473
"RMM026","Study 2",40,0.05,"none","Clean","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,11.4259999999997,46.6420000000006,59.3959999999997,60.8999999999996,1.03713189279596,,0.961617637729342,0.359013571167133,0.0825,0.963149150643548,0.472857638405679
"RMM027","Study 2",40,0.05,"none","Clean","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,100,0,0,0,0,0,0,51.5440000000001,78.2720000000001,131.338,225.94,1.03713188419392,0,0.961617637514595,0.359013576445694,0.0825,0.981574575545504,0.472857642037884
"RMM028","Study 2",40,0.05,"vertical","Vertical outliers","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,15.2780000000001,51.3120000000001,67.9160000000002,70.3100000000004,1.0262298117664,,0.93853783415008,0.164408008515607,0.103,0.963137068318294,0.481379189678205
"RMM029","Study 2",40,0.05,"vertical","Vertical outliers","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,100,0,20,0,0,0,0,37.3639999999999,78.5079999999996,117.388,151.54,1.02622989274689,0,0.938537836546252,0.164408012503973,0.103,0.981568539163369,0.481379210507681
"RMM030","Study 2",40,0.1,"none","Clean","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,11.3939999999999,47.5140000000001,60.2459999999997,61.7399999999998,1.03711310909313,,0.961703812286744,0.361763924445228,0.083375,0.963167987830917,0.471287437386055
"RMM031","Study 2",40,0.1,"none","Clean","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,80,0,0,0,0,0,0,54.56,89.5640000000001,145.64,179.8,1.0386533859432,0.0313640059922032,0.961867014177867,0.36176393359885,0.082625,0.981265274965726,0.473337862849461
"RMM032","Study 2",40,0.1,"vertical","Vertical outliers","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,14.9799999999997,51.9120000000003,68.2439999999999,70.5,1.02652070083772,,0.938557200636059,0.165129342625591,0.101875,0.963268056678108,0.479962192479083
"RMM033","Study 2",40,0.1,"vertical","Vertical outliers","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,80,0,20,0,0,0,0,39.7080000000002,90.3159999999998,131.532,192.69,1.02742643073264,0.0325569904773899,0.938671654248349,0.165129348468275,0.102,0.981659495034486,0.481366058358145
