"condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"ri",0.0970621960165503,-0.00293780398344974,75.2,2.73127076651144,0.0352945768354785,95.6,1.29713530520143,0.140718657296097,250,0,0,20,0.32891999999999
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cr2",0.0984455710936486,-0.00155442890635139,54,3.15214212877529,0.0501446662237036,93.6,1.54795348767332,0.199374273548507,250,0,,20,0.0984000000000069
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats",0.0963723510464419,-0.0036276489535581,68.4,2.94036732399202,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0594799999999932
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_trunc",0.0963723510464419,-0.0036276489535581,68.4,2.94036732399202,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0597600000000039
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robust",0.0972134265421685,-0.00278657345783152,63.2,3.05008852330551,0.0408807899111072,94.4,1.45415267424023,0.165102454736706,250,0,,20,0.129240000000005
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robustbase",0.0964005174743157,-0.00359948252568432,64,3.03578655376164,0.0384358908236414,94.4,1.45415267424023,0.155682546076864,250,0,,20,0.229080000000002
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"ri",0.117062196017638,-0.00293780398236154,91.2,1.79171426293369,0.0352945768386519,95.6,1.29713530520143,0.140718657291926,250,0,0,20,0.323800000000004
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cr2",0.118445571093649,-0.00155442890635139,66.4,2.98733325894518,0.0501446662237036,93.6,1.54795348767332,0.199374273548507,250,0,,20,0.0873600000000015
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats",0.116372351046442,-0.0036276489535581,84.4,2.29489869057438,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0591999999999971
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_trunc",0.116372351046442,-0.0036276489535581,84.4,2.29489869057438,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0643599999999997
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robust",0.117213436645532,-0.00278656335446764,76.4,2.68554649931816,0.0408807978661158,94.4,1.45415267424023,0.165102456270196,250,0,,20,0.125439999999996
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robustbase",0.116400517458437,-0.00359948254156256,83.2,2.36453800984463,0.0384358908873091,94.4,1.45415267424023,0.155682546105816,250,0,,20,0.2274
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",0.00221161783218957,0.00221161783218957,4.4,1.29713530520143,0.0470826220111365,95.6,1.29713530520143,0.189198514333182,250,0,0,20,0.316240000000002
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",0.000867194689406368,0.000867194689406368,4.4,1.29713530520143,0.0579328957927747,95.6,1.29713530520143,0.247476369998418,250,0,,20,0.0917999999999984
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",0.00165795468149279,0.00165795468149279,3.2,1.11312173637927,0.0473313418607833,96.8,1.11312173637927,0.203776877460103,250,0,,20,0.0613199999999952
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",0.00150916288207463,0.00150916288207463,3.2,1.11312173637927,0.0471651739830705,96.8,1.11312173637927,0.203507738934696,250,0,,19.996,0.0628000000000065
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",0.00256458732921337,0.00256458732921337,5.6,1.45415267424023,0.0421664146607151,94.4,1.45415267424023,0.169596679577379,250,0,,20,0.133279999999998
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",0.00264349918282805,0.00264349918282805,6.4,1.54795348767332,0.0420399161202166,93.6,1.54795348767332,0.169511522594897,250,0,,20,0.237599999999999
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",0.00284118190840542,0.00284118190840542,2.8,1.04337912572564,0.0591394530929212,97.2,1.04337912572564,0.235876095792116,250,0,0,20,0.31112
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",0.0017958279457186,0.0017958279457186,3.6,1.17820202002882,0.0685597150854313,96.4,1.17820202002882,0.289865118842866,250,0,,20,0.0845200000000023
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",0.00202875489332923,0.00202875489332923,3.6,1.17820202002882,0.0592461643697732,96.4,1.17820202002882,0.254987418716971,250,0,,20,0.0614399999999987
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",0.00202875489332923,0.00202875489332923,3.6,1.17820202002882,0.0592461643697732,96.4,1.17820202002882,0.254987418716971,250,0,,20,0.0604400000000014
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",0.00237755251324141,0.00237755251324141,4.8,1.35197633115377,0.0404779131575903,95.2,1.35197633115377,0.164217937555455,250,0,,20,0.128279999999997
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",0.00274488760284165,0.00274488760284165,5.6,1.45415267424023,0.0399470766668433,94.4,1.45415267424023,0.161362481233618,250,0,,20,0.228360000000002
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",0.00347787144716129,0.00347787144716129,1.6,0.793574193128784,0.0728623864379176,98.4,0.793574193128784,0.288728400607185,250,0,0,20,0.311600000000004
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",0.00272446120203079,0.00272446120203079,2.4,0.967966941584267,0.081013698216006,97.6,0.967966941584268,0.340132297937879,250,0,,20,0.089719999999993
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",0.00239955510516568,0.00239955510516568,3.6,1.17820202002882,0.0729871598837517,96.4,1.17820202002882,0.312944196121081,250,0,,20,0.0602800000000097
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",0.00239955510516568,0.00239955510516568,3.6,1.17820202002882,0.0729871598837517,96.4,1.17820202002882,0.312944196121081,250,0,,20,0.0628399999999974
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",0.00240056041792075,0.00240056041792075,4.8,1.35197633115377,0.0404051097638837,95.2,1.35197633115377,0.164043080842722,250,0,,20,0.128119999999987
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",0.00249753469629883,0.00249753469629883,4.8,1.35197633115377,0.0393657743618441,95.2,1.35197633115377,0.159583505605017,250,0,,20,0.234000000000002
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",0.00412908215746093,0.00412908215746093,2,0.885437744847146,0.0874776652511496,98,0.885437744847146,0.34489252261533,250,0,0,20,0.310879999999988
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",0.003653094458343,0.003653094458343,2.8,1.04337912572564,0.0945757617630026,97.2,1.04337912572564,0.39526468785893,250,0,,20,0.0919600000000155
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",0.00277035531700213,0.00277035531700213,2.4,0.967966941584267,0.0877001052932136,97.6,0.967966941584268,0.374505744360845,250,0,,20,0.060560000000005
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",0.00277035531700213,0.00277035531700213,2.4,0.967966941584267,0.0877001052932136,97.6,0.967966941584268,0.374505744360845,250,0,,20,0.0589199999999983
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",0.00240056017831884,0.00240056017831884,4.8,1.35197633115377,0.0404051099735413,95.2,1.35197633115377,0.164043081130743,250,0,,20,0.123919999999993
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",0.00239595798109903,0.00239595798109903,4.8,1.35197633115377,0.0393181661005371,95.2,1.35197633115377,0.159447145328974,250,0,,20,0.23060000000002
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",-0.112235795988152,-0.112235795988152,98,0.885437744847146,0.115429720138056,2,0.885437744847146,0.107808320363849,250,0,0,20,0.31019999999999
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.112732101310079,-0.112732101310079,82.8,2.38676349896675,0.118152053320167,17.2,2.38676349896675,0.155258479708372,250,0,,20,0.094559999999994
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",-0.113903158112734,-0.113903158112734,96,1.23935467078637,0.117200501635131,4,1.23935467078637,0.114000030437112,250,0,,20,0.0599199999999983
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",-0.113903158112734,-0.113903158112734,96,1.23935467078637,0.117200501635131,4,1.23935467078637,0.114000030437112,250,0,,20,0.0586400000000012
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",-0.103607430246757,-0.103607430246757,83.6,2.34182834554542,0.109246584837144,16.4,2.34182834554542,0.134440002152129,250,0,,20,0.126040000000006
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",-0.11243386974269,-0.11243386974269,94,1.50199866844149,0.116100758296073,6,1.50199866844149,0.119409740322757,250,0,,20,0.225000000000011
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",-0.226740779260812,-0.226740779260812,100,0,0.228387903321441,0,0,0.111961754014875,250,0,0,20,0.309200000000013
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.227227649154863,-0.227227649154863,100,0,0.22995937325062,0,0,0.157072701134772,250,0,,20,0.0853199999999961
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",-0.230074523896394,-0.230074523896394,100,0,0.231776522233579,0,0,0.116423558967391,250,0,,20,0.0567600000000039
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",-0.230074523896394,-0.230074523896394,100,0,0.231776522233579,0,0,0.116423558967391,250,0,,20,0.0625200000000023
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",-0.176875866847396,-0.176875866847396,94,1.50199866844149,0.182092926541068,6,1.50199866844149,0.174947357697491,250,0,,20,0.129239999999991
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",-0.212048278744766,-0.212048278744766,100,0,0.214548074157477,0,0,0.135812974224193,250,0,,20,0.232719999999996
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",-0.341246643389277,-0.341246643389277,100,0,0.342402392626434,0,0,0.118581112221131,250,0,0,20,0.308760000000015
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.341723196999646,-0.341723196999646,100,0,0.343568325538824,0,0,0.159959720649144,250,0,,20,0.0887599999999911
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",-0.346245889680055,-0.346245889680055,100,0,0.347440671741061,0,0,0.120306216257499,250,0,,20,0.0591600000000108
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",-0.346245889680055,-0.346245889680055,100,0,0.347440671741061,0,0,0.120306216257499,250,0,,20,0.0605999999999913
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",-0.179878671914833,-0.179878671914833,80,2.5298221281347,0.188983967099152,20,2.5298221281347,0.239218945038118,250,0,,20,0.128160000000005
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",-0.267421991115989,-0.267421991115989,100,0,0.271054378268904,0,0,0.185426540270603,250,0,,20,0.231479999999981
"PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",-0.107225812651827,-0.107225812651827,99.2,0.563418139573089,0.109409217808526,0.8,0.563418139573088,0.0855646543436717,250,0,0,20,0.310279999999995
"PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.107469988937041,-0.107469988937041,90.8,1.82796061226712,0.111181785482111,9.2,1.82796061226712,0.123261458392125,250,0,,20,0.0889599999999991
"PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",-0.107876456691614,-0.107876456691614,99.2,0.563418139573089,0.110112394557559,0.8,0.563418139573088,0.090248681150709,250,0,,20,0.0573199999999997
"PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",-0.107876456691614,-0.107876456691614,99.2,0.563418139573089,0.110112394557559,0.8,0.563418139573088,0.090248681150709,250,0,,20,0.0604000000000051
