"condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","contamination","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_count","warning_rate","error_count","error_rate","failure_count","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"PC008","vertical_severity","V03",20,40,0,"vertical",0.05,8,0,250,20260802,"cats",0,0,0,0,0,0,,20,0.0602800000000097
"PC008","vertical_severity","V03",20,40,0,"vertical",0.05,8,0,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0628399999999974
"PC008","vertical_severity","V03",20,40,0,"vertical",0.05,8,0,250,20260802,"cats_robust",0,0,0,0,0,0,,20,0.128119999999987
"PC008","vertical_severity","V03",20,40,0,"vertical",0.05,8,0,250,20260802,"cats_robustbase",0,0,0,0,0,0,,20,0.234000000000002
"PC009","vertical_severity","V04",20,40,0,"vertical",0.05,10,0,250,20260802,"ri",0,0,0,0,0,0,0,20,0.310879999999988
"PC009","vertical_severity","V04",20,40,0,"vertical",0.05,10,0,250,20260802,"cr2",0,0,0,0,0,0,,20,0.0919600000000155
"PC009","vertical_severity","V04",20,40,0,"vertical",0.05,10,0,250,20260802,"cats",0,0,0,0,0,0,,20,0.060560000000005
"PC009","vertical_severity","V04",20,40,0,"vertical",0.05,10,0,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0589199999999983
"PC009","vertical_severity","V04",20,40,0,"vertical",0.05,10,0,250,20260802,"cats_robust",0,0,0,0,0,0,,20,0.123919999999993
"PC009","vertical_severity","V04",20,40,0,"vertical",0.05,10,0,250,20260802,"cats_robustbase",0,0,0,0,0,0,,20,0.23060000000002
"PC010","bad_leverage_severity","B01",20,40,0,"bad_leverage",0.05,1,4,250,20260802,"ri",0,0,0,0,0,0,0,20,0.31019999999999
"PC010","bad_leverage_severity","B01",20,40,0,"bad_leverage",0.05,1,4,250,20260802,"cr2",0,0,0,0,0,0,,20,0.094559999999994
"PC010","bad_leverage_severity","B01",20,40,0,"bad_leverage",0.05,1,4,250,20260802,"cats",0,0,0,0,0,0,,20,0.0599199999999983
"PC010","bad_leverage_severity","B01",20,40,0,"bad_leverage",0.05,1,4,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0586400000000012
"PC010","bad_leverage_severity","B01",20,40,0,"bad_leverage",0.05,1,4,250,20260802,"cats_robust",1,0.4,0,0,0,0,,20,0.126040000000006
"PC010","bad_leverage_severity","B01",20,40,0,"bad_leverage",0.05,1,4,250,20260802,"cats_robustbase",0,0,0,0,0,0,,20,0.225000000000011
