"method","method_label","setting","estimate","std_error","df","statistic","p_value","conf_low","conf_high","reject","cover","fit_available","inference_complete","convergence_code","convergence_code_zero","boundary_fit","estimated_random_intercept_sd","estimated_random_slope_sd","estimated_residual_sd","residual_weight_minimum","residual_weight_mean","residual_weight_prop_below_0_5","residual_weight_prop_below_0_8","residual_weight_count","random_effect_weight_minimum","random_effect_weight_mean","random_effect_weight_prop_below_0_5","random_effect_weight_prop_below_0_8","random_effect_weight_count","fit_warning","fit_message","fit_error","inference_warning","inference_message","inference_error","process_warning","process_message","process_error","variance_component_error","summary_column_names","fit_elapsed_sec","inference_elapsed_sec","process_elapsed_sec","total_elapsed_sec","condition_id","replicate","replicate_seed","n_clusters","cluster_size","random_slope_sd","contamination","contamination_label","beta","usable"
"lmer_kr","Conventional random slope (KR)",,-0.129915550013575,0.0936170344159665,8.4233847433114,-1.38773408946414,0.200824348711742,-0.343922587129752,0.0840914871026025,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.928869344693954,0.0822238184553129,1.71901342973007,,,,,,,,,,,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",0.129999999999995,0.289999999999992,0,0.419999999999987,"RMM013",1,561050143,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"rlmer_RSEa","Robust random slope (RSEa)","RSEa",-0.0391200643424238,0.0601478011658301,286.236487587298,-0.650398910420152,0.515956273568969,-0.157508160056668,0.0792680313718205,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,1.13540889320175,0,1.16894621115149,0.21765694338546,0.943645551755068,0.05,0.0975,400,0.727544246087447,0.982931869679906,0,0.05,20,,"boundary (singular) fit: see help('isSingular')",,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",2.64000000000001,9.58000000000001,0.25,12.47,"RMM013",2,275491558,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"lmer_kr","Conventional random slope (KR)",,-0.16715288019071,0.0839610209501169,8.61531309544932,-1.990839061974,0.0791108467796034,-0.358386575665624,0.0240808152842047,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,1.16740350561268,3.42633351543177e-05,1.65999889122921,,,,,,,,,,,,"boundary (singular) fit: see help('isSingular')",,,,,,"boundary (singular) fit: see help('isSingular')",,,"Estimate | Std. Error | df | t value | Pr(>|t|)",0.159999999999997,0.280000000000001,0,0.439999999999998,"RMM013",2,275491558,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"rlmer_RSEa","Robust random slope (RSEa)","RSEa",-0.124135861701169,0.0666631118802543,649.558431177145,-1.86213721801874,0.0630350877812008,-0.255037068941632,0.00676534553929495,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,0.619123176805201,0,1.24457332292694,0.221438528023627,0.944822886513647,0.05,0.0925,400,0.780965344647208,0.985787328736438,0,0.05,20,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",6.95000000000002,10.44,0.260000000000019,17.65,"RMM013",3,658591458,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"lmer_kr","Conventional random slope (KR)",,-0.228082714465515,0.110922704645722,8.78137825438392,-2.0562310952838,0.0706780949015353,-0.479962811579976,0.023797382648945,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.621963922948111,0.202699795090536,1.71097088836933,,,,,,,,,,,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",0.120000000000005,0.300000000000011,0,0.420000000000016,"RMM013",3,658591458,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"rlmer_RSEa","Robust random slope (RSEa)","RSEa",0.0550434464710221,0.0598749074721323,331.943839754625,0.919307415992937,0.358602340192284,-0.0627386559390069,0.172825548881051,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,1.04556929319862,0,1.16616416616452,0.19885591176477,0.940857933855774,0.0525,0.0975,400,0.816316429191921,0.986820091883404,0,0,20,,"boundary (singular) fit: see help('isSingular')",,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",8.80999999999997,9.97000000000003,0.25,19.03,"RMM013",4,835799753,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"lmer_kr","Conventional random slope (KR)",,0.12654369158119,0.0873972382807258,8.46724052531573,1.4479140768124,0.183634284947909,-0.0730751972204228,0.326162580382804,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,0.988868784438755,0,1.72424687690516,,,,,,,,,,,,"boundary (singular) fit: see help('isSingular')",,,,,,"boundary (singular) fit: see help('isSingular')",,,"Estimate | Std. Error | df | t value | Pr(>|t|)",0.140000000000043,0.269999999999982,0,0.410000000000025,"RMM013",4,835799753,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"rlmer_RSEa","Robust random slope (RSEa)","RSEa",-0.0151603738185923,0.0647237063072203,347.575161367224,-0.234232164434951,0.814942656484229,-0.14245977571098,0.112139028073796,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,1.03702669077854,0,1.21594783101949,0.207513409553069,0.944275545280391,0.05,0.0925,400,0.829845321157253,0.984177687831872,0,0,20,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",6.31999999999999,9.69,0.25,16.26,"RMM013",5,731039463,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"lmer_kr","Conventional random slope (KR)",,-0.0135255035064092,0.100119328246902,8.68073632182794,-0.135093829965122,0.895618114774273,-0.241287296186248,0.21423628917343,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.914721415037742,0.144200986412228,1.69825071290457,,,,,,,,,,,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",0.110000000000014,0.25,0,0.360000000000014,"RMM013",5,731039463,10,40,0.05,"vertical","Vertical outliers",0,TRUE
"rlmer_RSEa","Robust random slope (RSEa)","RSEa",-0.112843273924236,0.0561237784439768,174.019531280987,-2.01061434302534,0.0459102255097392,-0.223614207941724,-0.00207233990674872,TRUE,FALSE,TRUE,TRUE,0,TRUE,TRUE,1.03434084287434,0,1.06202247910132,0.432521870395414,0.957825429685572,0.0125,0.0875,400,0.798288635459838,0.9897540264282,0,0.05,20,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",8.28000000000003,9.36000000000001,0.25,17.89,"RMM015",1,561050143,10,40,0.1,"none","Clean",0,TRUE
