"field","value"
"analysis_seed","20261101"
"method_count","9"
"methods","rs,ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase,robust_ri,robust_rs"
"alpha","0.05"
"observed_input_md5","8edd9d547383f4f8f1786885e8a43f03"
"perturbed_input_md5","74e07a828870a2d2282f71c24f099a52"
"observed_subjects","18"
"perturbed_subjects","18"
"observed_loo_rows","162"
"perturbed_loo_rows","162"
"contaminated_observations","18"
"comparative_analysis_complete","TRUE"
