"metric","minimum_mcse","mean_mcse","maximum_mcse"
"Coverage",0.157718102955875,0.62396628824987,1.11781035958699
"Power",0.37207358143249,0.798811648142963,1.11849871087616
"Type I error",0.458606585212206,0.662963895267988,1.11389182598671
