"condition_id","n_clusters","cluster_size","beta","effect_label","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","common_random_number_group","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec","method_label","method_order","bias_cats","rmse_cats","rejection_rate_cats","coverage_cats","avg_ci_width_cats","failure_rate_cats","rmse_ratio_vs_cats","ci_width_ratio_vs_cats","coverage_difference_vs_cats","rejection_difference_vs_cats","absolute_bias_difference_vs_cats"
"S1C006",10,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats_robust",0.0162348496301607,-0.0837651503698393,5.6,0.514120608417908,0.0954542341433,58.2,1.10289618731774,0.194054608207709,2000,0,,10,0.0666900000000041,"Robust CATs: lmRob",5,-0.0900307100415503,0.0980726199694007,5.45,46.65,0.170018997684576,0,0.973301561364246,1.14137014598642,11.55,0.15,-0.006265559671711
"S1C006",10,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats_robustbase",0.0103974988866319,-0.0896025011133681,5.5,0.509779364038993,0.0985044660733389,49,1.11781035958699,0.176691974920597,2000,0,,10,0.129785000000006,"Robust CATs: lmrob",6,-0.0900307100415503,0.0980726199694007,5.45,46.65,0.170018997684576,0,1.00440332994135,1.03924842121703,2.34999999999999,0.0499999999999998,-0.000428208928182211
"S1C007",20,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robust",0.000560307673406793,0.000560307673406793,5.45,0.507591124823908,0.040574563928747,94.55,0.507591124823908,0.164704309327953,2000,0,,20,0.130864999999981,"Robust CATs: lmRob",5,0.000761996492514052,0.0368065205207618,5.6,94.4,0.151749572580637,0,1.10237434440073,1.08536918112525,0.150000000000006,-0.15,-0.000201688819107259
"S1C007",20,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robustbase",0.000645536428463058,0.000645536428463058,5.65,0.516273909857936,0.0384246824176689,94.35,0.516273909857936,0.156691254775781,2000,0,,20,0.251055000000012,"Robust CATs: lmrob",6,0.000761996492514052,0.0368065205207618,5.6,94.4,0.151749572580637,0,1.04396400078063,1.03256471903747,-0.0499999999999972,0.0499999999999998,-0.000116460064050994
"S1C008",20,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robust",0.000536063369119107,0.000536063369119107,5.65,0.516273909857936,0.0403529971697275,94.35,0.516273909857936,0.164763890466882,2000,0,,20,0.129249999999986,"Robust CATs: lmRob",5,-0.000594652050459911,0.0617635970614355,4.6,95.4,0.253415265064078,0,0.653345968978926,0.650173502473183,-1.05,1.05,-5.85886813408038e-05
"S1C008",20,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robustbase",0.000287214268497271,0.000287214268497271,5.15,0.494205169944629,0.0394851398257065,94.85,0.494205169944629,0.161096099340072,2000,0,,20,0.248484999999991,"Robust CATs: lmrob",6,-0.000594652050459911,0.0617635970614355,4.6,95.4,0.253415265064078,0,0.63929469306056,0.635700060528467,-0.549999999999997,0.55,-0.00030743778196264
"S1C009",20,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robust",-0.0421149643757563,-0.0421149643757563,26.9,0.991561899227678,0.0520854870729991,73.1,0.991561899227678,0.125539128522358,2000,0,,20,0.130239999999995,"Robust CATs: lmRob",5,-0.0436964558102455,0.0514181470112365,34,66,0.112722329801833,0,1.01297868749756,1.11370239368772,7.09999999999999,-7.1,-0.00158149143448924
"S1C009",20,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robustbase",-0.0443002579843707,-0.0443002579843707,32.75,1.04938970358966,0.0525211030848313,67.25,1.04938970358966,0.116916212026779,2000,0,,20,0.249265000000007,"Robust CATs: lmrob",6,-0.0436964558102455,0.0514181470112365,34,66,0.112722329801833,0,1.02145071609356,1.03720542533426,1.25,-1.25,0.000603802174125125
"S1C010",20,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robust",0.100560302836998,0.0005603028369982,66.3,1.05695553359638,0.0405745559945495,94.55,0.507591124823908,0.164704301515504,2000,0,,20,0.161829999999998,"Robust CATs: lmRob",5,0.000761996492514051,0.0368065205207618,74.3,94.4,0.151749572580637,0,1.10237412883574,1.08536912964274,0.150000000000006,-8,-0.00020169365551585
"S1C010",20,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robustbase",0.100642914693039,0.000642914693038662,71.2,1.01256110926699,0.038421180562007,94.35,0.516273909857936,0.1566884121056,2000,0,,20,0.319765000000004,"Robust CATs: lmrob",6,0.000761996492514051,0.0368065205207618,74.3,94.4,0.151749572580637,0,1.04386885851746,1.03254598639702,-0.0499999999999972,-3.09999999999999,-0.000119081799475388
