"source","message","count"
"overall_warning_field","Cluster 12: Max iteration for refinement reached.",29
"overall_warning_field","Cluster 23: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",29
"overall_warning_field","Cluster 31: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",29
"overall_warning_field","Cluster 26: Max iteration for refinement reached.",27
"overall_warning_field","Cluster 22: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",25
"overall_warning_field","Cluster 29: Max iteration for refinement reached.",25
"overall_warning_field","Cluster 35: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",25
"overall_warning_field","Cluster 37: Max iteration for refinement reached.",25
"overall_warning_field","Cluster 40: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",25
"overall_warning_field","Cluster 11: Max iteration for refinement reached.",23
"overall_warning_field","Cluster 36: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",23
"overall_warning_field","Cluster 39: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",22
"overall_warning_field","Cluster 24: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",21
"overall_warning_field","Cluster 21: Max iteration for refinement reached.",20
"overall_warning_field","Cluster 24: Max iteration for refinement reached.",19
"overall_warning_field","Cluster 32: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",19
"overall_warning_field","Cluster 40: Max iteration for refinement reached.",19
"overall_warning_field","Cluster 27: Max iteration for refinement reached.",18
"overall_warning_field","Cluster 36: Max iteration for refinement reached.",18
"overall_warning_field","Cluster 30: Max iteration for refinement reached.",17
"overall_warning_field","Cluster 23: Max iteration for refinement reached.",16
"overall_warning_field","Cluster 25: Max iteration for refinement reached.",16
"overall_warning_field","Cluster 28: Max iteration for refinement reached.",16
"overall_warning_field","Cluster 32: Max iteration for refinement reached.",16
"overall_warning_field","Cluster 33: Max iteration for refinement reached.",15
"overall_warning_field","Cluster 34: Max iteration for refinement reached.",15
"overall_warning_field","Cluster 38: Max iteration for refinement reached.",15
"overall_warning_field","Cluster 19: Max iteration for final coefficients reached.",14
"overall_warning_field","Cluster 22: Max iteration for refinement reached.",14
"overall_warning_field","Cluster 39: Max iteration for refinement reached.",14
"overall_warning_field","Cluster 5: Max iteration for final coefficients reached.",14
"overall_warning_field","Cluster 6: Max iteration for final coefficients reached.",14
"overall_warning_field","Cluster 7: Max iteration for final coefficients reached.",14
"overall_warning_field","Cluster 3: Max iteration for final coefficients reached.",13
"overall_warning_field","Cluster 31: Max iteration for refinement reached.",13
"overall_warning_field","Cluster 1: Max iteration for final coefficients reached.",12
"overall_warning_field","Cluster 35: Max iteration for refinement reached.",11
"overall_warning_field","Cluster 2: Max iteration for final coefficients reached.",10
"overall_warning_field","Cluster 40: Max iteration for final coefficients reached.",10
"overall_warning_field","Cluster 9: Max iteration for final coefficients reached.",10
"overall_warning_field","Cluster 10: Max iteration for final coefficients reached.",8
"overall_warning_field","Cluster 13: Max iteration for final coefficients reached.",8
"overall_warning_field","Cluster 14: Max iteration for final coefficients reached.",8
"overall_warning_field","Cluster 18: Max iteration for final coefficients reached.",8
"overall_warning_field","Cluster 19: M-step did NOT converge. Returning unconverged SM-estimate",7
"overall_warning_field","Cluster 4: M-step did NOT converge. Returning unconverged SM-estimate",7
"overall_warning_field","Cluster 15: Max iteration for final coefficients reached.",6
"overall_warning_field","Cluster 16: Max iteration for final coefficients reached.",6
"overall_warning_field","Cluster 20: Max iteration for final coefficients reached.",6
"overall_warning_field","Cluster 21: Max iteration for final coefficients reached.",6
"overall_warning_field","Cluster 31: Max iteration for final coefficients reached.",6
"overall_warning_field","Cluster 4: Max iteration for final coefficients reached.",6
