"condition_id","n_clusters","beta","contamination","contamination_label","replicate","replicate_seed","method","cluster","intercept","x","retained","warning","error"
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","2",-0.0322051370420562,0.0262222986502463,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","3",2.50470759243902,0.00590741464852467,TRUE,,
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","4",0.774099155653365,0.114957961299122,TRUE,,
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","5",0.41206807559431,-0.12627669893127,TRUE,,
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","6",-0.106325381194307,0.201480799480442,TRUE,,
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","7",0.642008564163006,0.301992583771248,TRUE,,
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","8",1.70536275857086,0.149311457695654,TRUE,,
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","9",0.682665825716436,-0.0573272854445657,TRUE,,
"S1C001",10,0,"none","Clean",115,1855184766,"cats_robustbase","10",0.261972247129159,0.0239615592765184,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","1",0.4102327659787,0.174193811922993,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","2",-0.0985599157894123,0.212706876917702,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","3",-1.40495623536682,0.134959765517622,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","4",-1.2239058162569,0.312495043626029,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","5",-1.0623631580049,0.00739630010566054,TRUE,"Max iteration for refinement reached.",
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","6",-0.219762564706978,0.367170227379608,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","7",2.24250776344679,0.106850828527939,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","8",2.5000615235461,-0.161231447131555,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","9",-3.21051125192308,0.0339779546571711,TRUE,,
"S1C001",10,0,"none","Clean",192,1957312952,"cats_robust","10",-0.774753362016132,-0.257138654257565,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","1",1.81595816580409,-0.336054873496342,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","2",-0.0492581907823531,-0.0204913441406843,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","3",0.0879891814898578,-0.0679212372853451,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","4",0.345924797792109,-0.31065610039763,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","5",2.36717797660875,0.596734880983671,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","6",0.518120313618481,-0.0774542519309348,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","7",-0.279113691073403,-0.0604583937896589,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","8",0.65052322129763,-0.124935908835049,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","9",0.227700399648759,-0.0514540549383439,TRUE,,
"S1C001",10,0,"none","Clean",199,2089840886,"cats_robustbase","10",0.119602123049135,0.118782390350979,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","1",-0.351081251148074,0.347903005594458,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","2",0.143372504550891,-0.0312237207141088,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","3",0.173439432705238,-0.0246872982257626,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","4",-1.11778787767002,0.144419731690948,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","5",-0.18169789351915,-0.162007189543602,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","6",-0.444591277936499,0.0373855385939449,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","7",2.22774718615631,-0.00625416801271843,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","8",-0.459822768559904,0.028419403186147,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","9",-0.00765350245269747,-0.231109314215819,TRUE,,
"S1C001",10,0,"none","Clean",210,1334629001,"cats_robustbase","10",0.199534848142338,-0.15287887563128,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","1",0.981016243194538,-0.0986877413372247,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","2",0.896231777462701,-0.176463615737199,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","3",0.264668915902544,0.147196126156781,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","4",-0.260026685716639,0.0676700558327202,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","5",0.933562739087851,-0.191349097130104,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","6",0.32812428205082,0.0293433996635247,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","7",-1.33069620719577,0.113091192313341,TRUE,"Max iteration for refinement reached.",
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","8",-0.126339017235573,0.0792302564895305,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","9",-0.37523974464683,0.0830795231678182,TRUE,,
"S1C001",10,0,"none","Clean",226,140916277,"cats_robust","10",0.330676287908934,0.0520150671037864,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","1",-0.156481751013656,0.244424549282415,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","2",1.66338077110319,0.0778811501752345,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","3",0.887908544149634,-0.182696155165574,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","4",-1.40637748204559,-0.344665099715368,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","5",0.0516227982554469,0.0302765237143585,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","6",1.46505274392354,-0.128143934704489,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","7",-0.806321178345172,-0.0256043557817348,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","8",0.215378596037718,-0.0358935830523456,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","9",2.69761309479049,-0.194810510524299,TRUE,,
"S1C001",10,0,"none","Clean",233,1381346461,"cats_robustbase","10",-0.663706488296447,-0.412921780464365,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","1",-0.271128516145427,-0.166772712563955,TRUE,"Max iteration for refinement reached.",
